location;total_populations;total_infected;total_death_counts
Afghanistan;41128772;225983;7947
Albania;2842318;334090;3604
Algeria;44903228;271852;6881
American Samoa;44295;8341;34
Andorra;79843;48015;159
Angola;35588996;105960;1936
Anguilla;15877;3904;12
Antigua and Barbuda;93772;9106;146
Argentina;45510324;10054576;130472
Armenia;2780472;449528;8751
Aruba;106459;44224;292
Australia;26177410;11600795;23601
Austria;8939617;6081287;22534
Azerbaijan;10358078;832580;10302
Bahamas;409989;38084;844
Bahrain;1472237;696614;1536
Bangladesh;171186368;2045671;29477
Barbados;281646;110023;620
Belarus;9534956;994037;7118
Belgium;11655923;4812396;34339
Belize;405285;70782;688
Benin;13352864;28036;163
Bermuda;64207;18860;165
Bhutan;782457;62697;21
Bolivia;12224114;1208716;22404
Bonaire Sint Eustatius and Saba;27052;11922;41
Bosnia and Herzegovina;3233530;403117;16352
Botswana;2630300;330272;2800
Brazil;215313504;37720419;704659
British Virgin Islands;31332;7305;64
Brunei;449002;311020;163
Bulgaria;6781955;1299930;38403
Burkina Faso;22673764;22056;396
Burundi;12889583;54321;15
Cambodia;16767851;138941;3056
Cameroon;27914542;125090;1974
Canada;38454328;4697504;53147
Cape Verde;593162;64401;415
Cayman Islands;68722;31472;37
Central African Republic;5579148;15367;113
Chad;17723312;7698;194
Chile;19603736;5289235;64497
China;1425887360;99311610;121714
Colombia;51874028;6381318;142977
Comoros;836783;9109;161
Congo;5970430;25196;389
Cook Islands;17032;7158;2
Costa Rica;5180836;1238884;9428
Cote d'Ivoire;28160548;88338;835
Croatia;4030361;1275071;18332
Cuba;11212198;1115103;8530
Curacao;191173;45883;305
Cyprus;896007;660854;1364
Czechia;10493990;4647761;42832
Democratic Republic of Congo;99010216;98830;1468
Denmark;5882259;3416698;8814
Djibouti;1120851;15690;189
Dominica;72758;15760;74
Dominican Republic;11228821;667054;4384
Ecuador;18001002;1069232;36042
Egypt;110990096;516023;24830
El Salvador;6336393;201807;4230
England;56550000;NULL;NULL
Equatorial Guinea;1674916;17130;183
Eritrea;3684041;10189;103
Estonia;1326064;601851;2901
Eswatini;1201680;74882;1427
Ethiopia;123379928;501060;7574
Faeroe Islands;53117;34658;28
Falkland Islands;3801;1923;NULL
Fiji;929769;69047;885
Finland;5540745;1485088;10201
France;67813000;38997490;167985
French Guiana;304568;98041;413
French Polynesia;306292;78632;649
Gabon;2388997;48992;307
Gambia;2705995;12626;372
Georgia;3744385;1855289;17132
Germany;83369840;38437756;174979
Ghana;33475870;171653;1462
Gibraltar;32677;20550;113
Greece;10384972;5370810;37413
Greenland;56494;11971;21
Grenada;125459;19693;238
Guadeloupe;395762;203235;1021
Guam;171783;52006;416
Guatemala;17843914;1271180;20235
Guernsey;63329;35326;67
Guinea;13859349;38563;468
Guinea-Bissau;2105580;9614;177
Guyana;808727;73387;1299
Haiti;11585003;34323;860
Honduras;10432858;474586;11127
Hong Kong;7488863;NULL;NULL
Hungary;9967304;2204488;48803
Iceland;372903;208957;186
India;1417173120;44998525;532031
Indonesia;275501344;6813429;161918
Iran;88550568;7616791;146386
Iraq;44496124;2465545;25375
Ireland;5023108;1719863;9209
Isle of Man;84534;38008;116
Israel;9449000;4837580;12670
Italy;59037472;26007789;191469
Jamaica;2827382;156293;3606
Japan;123951696;33803572;74694
Jersey;110796;66391;161
Jordan;11285875;1746997;14122
Kazakhstan;19397998;1502857;19072
Kenya;54027484;343955;5689
Kiribati;131237;5085;24
Kosovo;1782115;274020;3210
Kuwait;4268886;666284;2570
Kyrgyzstan;6630621;87949;1024
Laos;7529477;218864;671
Latvia;1850654;975910;7378
Lebanon;5489744;1239904;10947
Lesotho;2305826;34490;706
Liberia;5302690;8090;294
Libya;6812344;507269;6437
Liechtenstein;39355;21488;87
Lithuania;2750058;1324683;9704
Luxembourg;647601;383398;1000
Macao;695180;NULL;NULL
Madagascar;29611718;68330;1425
Malawi;20405318;88908;2686
Malaysia;33938216;5127712;37190
Maldives;523798;186694;316
Mali;22593598;33152;743
Malta;533293;120044;877
Marshall Islands;41593;16133;17
Martinique;367512;230354;1104
Mauritania;4736146;63757;997
Mauritius;1299478;309786;1054
Mayotte;326113;42027;187
Mexico;127504120;7686132;334586
Micronesia (country);114178;26547;65
Moldova;3272993;621865;12126
Monaco;36491;16975;67
Mongolia;3398373;1010975;2284
Montenegro;627082;251133;2654
Montserrat;4413;1403;8
Morocco;37457976;1276635;16297
Mozambique;32969520;233651;2249
Myanmar;54179312;641253;19494
Namibia;2567024;171998;4098
Nauru;12691;5393;1
Nepal;30547586;1003438;12031
Netherlands;17564020;8617412;22986
New Caledonia;289959;80064;314
New Zealand;5185289;2383066;3329
Nicaragua;6948395;16038;245
Niger;26207982;9515;315
Nigeria;218541216;286572;3155
Niue;1952;887;NULL
North Korea;26069416;NULL;NULL
North Macedonia;2093606;348411;9941
Northern Cyprus;382836;NULL;NULL
Northern Ireland;1896000;NULL;NULL
Northern Mariana Islands;49574;14274;41
Norway;5434324;1488692;5667
Oman;4576300;399449;4628
Pakistan;235824864;1580631;30656
Palau;18084;6235;9
Palestine;5250076;703228;5708
Panama;4408582;1047321;8652
Papua New Guinea;10142625;46864;670
Paraguay;6780745;735887;19970
Peru;34049588;4519052;221465
Philippines;115559008;4173631;66685
Pitcairn;47;4;NULL
Poland;39857144;6520928;119644
Portugal;10270857;5610180;27247
Puerto Rico;3252412;1252713;5938
Qatar;2695131;514524;690
Reunion;974062;494595;921
Romania;19659270;3440346;68314
Russia;144713312;23014969;400023
Rwanda;13776702;133194;1468
Saint Barthelemy;10994;5507;5
Saint Helena;5401;2166;NULL
Saint Kitts and Nevis;47681;6607;46
Saint Lucia;179872;30122;409
Saint Martin (French part);31816;12324;46
Saint Pierre and Miquelon;5885;3426;2
Saint Vincent and the Grenadines;103959;9642;124
Samoa;222390;16778;31
San Marino;33690;24518;126
Sao Tome and Principe;227393;6597;80
Saudi Arabia;36408824;841469;9646
Scotland;5466000;NULL;NULL
Senegal;17316452;89022;1971
Serbia;6871547;2549375;18057
Seychelles;107135;50937;172
Sierra Leone;8605723;7766;126
Singapore;5637022;2579966;1872
Sint Maarten (Dutch part);44192;11051;92
Slovakia;5643455;1867421;21167
Slovenia;2119843;1344826;9435
Solomon Islands;724272;21611;153
Somalia;17597508;27334;1361
South Africa;59893884;4072533;102595
South Korea;51815808;34571873;35934
South Sudan;10913172;18368;138
Spain;47558632;13980340;121852
Sri Lanka;21832150;672587;16882
Sudan;46874200;63993;5046
Suriname;618046;82588;1408
Sweden;10549349;2715809;24767
Switzerland;8740471;4412555;14054
Syria;22125242;57423;3163
Taiwan;23893396;NULL;NULL
Tajikistan;9952789;17786;125
Tanzania;65497752;43078;846
Thailand;71697024;4757283;34473
Timor;1341298;23460;138
Togo;8848700;39514;290
Tokelau;1893;80;NULL
Tonga;106867;16825;12
Trinidad and Tobago;1531043;191496;4390
Tunisia;12356116;1153361;29423
Turkey;85341248;17004677;101419
Turkmenistan;6430777;NULL;NULL
Turks and Caicos Islands;45726;6630;39
Tuvalu;11335;2943;1
Uganda;47249588;171843;3632
Ukraine;39701744;5518385;109904
United Arab Emirates;9441138;1067030;2349
United Kingdom;67508936;24715857;229307
United States;338289856;103436829;1127152
United States Virgin Islands;99479;25389;132
Uruguay;3422796;1039227;7634
Uzbekistan;34627648;172571;1016
Vanuatu;326744;12019;14
Vatican;808;26;NULL
Venezuela;28301700;552695;5856
Vietnam;98186856;11623571;43206
Wales;3170000;NULL;NULL
Wallis and Futuna;11596;3550;8
Western Sahara;576005;NULL;NULL
Yemen;33696612;11945;2159
Zambia;20017670;349287;4069
Zimbabwe;16320539;265748;5718
