location;total_populations;fully_vaccinated;fully_vaccination_rate
Gibraltar;32677;41465;126,894
Tokelau;1893;2203;116,376
Qatar;2695131;2852178;105,827
United Arab Emirates;9441138;9792266;103,719
Pitcairn;47;47;100
Brunei;449002;446714;99,49
Macao;695180;642266;92,388
Singapore;5637022;5120969;90,845
Hong Kong;7488863;6801365;90,82
Chile;19603736;17700117;90,29
China;1425887360;1276760000;89,541
Cuba;11212198;10031911;89,473
Nauru;12691;11346;89,402
Malta;533293;471537;88,42
Cayman Islands;68722;60664;88,274
Nicaragua;6948395;6117158;88,037
Cambodia;16767851;14683075;87,567
Vietnam;98186856;85961564;87,549
Taiwan;23893396;20793089;87,024
Portugal;10270857;8906354;86,715
Bhutan;782457;677669;86,608
Cook Islands;17032;14728;86,473
Spain;47558632;40739123;85,661
South Korea;51815808;44372679;85,635
Uruguay;3422796;2902993;84,813
Peru;34049588;28696625;84,279
Costa Rica;5180836;4358863;84,134
Tuvalu;11335;9505;83,855
Niue;1952;1635;83,76
Mauritius;1299478;1088142;83,737
Japan;123951696;103380343;83,404
Bahrain;1472237;1226796;83,329
Guernsey;63329;52710;83,232
Bangladesh;171186368;142192971;83,063
Australia;26177410;21648824;82,7
Canada;38454328;31762130;82,597
Brazil;215313504;176164186;81,818
Northern Cyprus;382836;313067;81,776
Italy;59037472;47952575;81,224
Malaysia;33938216;27551572;81,182
Ireland;5023108;4063175;80,89
New Zealand;5185289;4182631;80,663
Denmark;5882259;4716840;80,188
Samoa;222390;177954;80,019
Nepal;30547586;24389063;79,84
Isle of Man;84534;67106;79,383
Aruba;106459;84341;79,224
Ecuador;18001002;14240587;79,11
Belgium;11655923;9169717;78,67
Finland;5540745;4347780;78,469
France;67813000;53192478;78,44
Scotland;5466000;4285946;78,411
Kuwait;4268886;3346082;78,383
Wales;3170000;2477109;78,142
Seychelles;107135;83565;78
Iceland;372903;290193;77,82
Faeroe Islands;53117;40895;76,99
Argentina;45510324;34896573;76,678
Germany;83369840;63563414;76,243
England;56550000;42951064;75,952
Rwanda;13776702;10399665;75,487
United Kingdom;67508936;50762968;75,194
Austria;8939617;6683263;74,76
Norway;5434324;4054726;74,613
Thailand;71697024;53486086;74,6
Bermuda;64207;47657;74,224
Jersey;110796;81882;73,903
Greece;10384972;7646512;73,631
Maldives;523798;385167;73,533
Tonga;106867;77360;72,389
Cyprus;896007;646142;72,113
Panama;4408582;3174155;71,999
Sweden;10549349;7593676;71,982
Northern Ireland;1896000;1361003;71,783
Luxembourg;647601;462702;71,449
Colombia;51874028;37019801;71,365
Latvia;1850654;1305976;70,568
Liberia;5302690;3730967;70,36
Monaco;36491;25667;70,338
San Marino;33690;23633;70,148
Saudi Arabia;36408824;25433941;69,857
Laos;7529477;5222417;69,36
Fiji;929769;641194;68,963
El Salvador;6336393;4344286;68,561
Lithuania;2750058;1880559;68,383
United States;338289856;230637348;68,177
Greenland;56494;38511;68,168
Philippines;115559008;78443972;67,882
Sri Lanka;21832150;14752827;67,574
India;1417173120;951985356;67,175
Turks and Caicos Islands;45726;30710;67,161
Netherlands;17564020;11782254;67,082
Andorra;79843;53500;67,007
Belarus;9534956;6355081;66,65
Oman;4576300;3048826;66,622
Antigua and Barbuda;93772;62384;66,527
Iran;88550568;58582625;66,157
Czechia;10493990;6893366;65,689
Anguilla;15877;10380;65,378
Saint Helena;5401;3531;65,377
Israel;9449000;6159825;65,19
Estonia;1326064;861783;64,988
Myanmar;54179312;35196377;64,963
Mozambique;32969520;21329745;64,695
Mexico;127504120;81849962;64,194
Mongolia;3398373;2175617;64,019
New Caledonia;289959;184816;63,739
Indonesia;275501344;174893201;63,482
Botswana;2630300;1663490;63,243
Morocco;37457976;23521989;62,796
Turkey;85341248;53176961;62,311
Hungary;9967304;6207249;62,276
Kiribati;131237;81474;62,082
Bonaire Sint Eustatius and Saba;27052;16736;61,866
French Polynesia;306292;186803;60,989
Sint Maarten (Dutch part);44192;26773;60,583
Timor;1341298;799627;59,616
Pakistan;235824864;140475871;59,568
Wallis and Futuna;11596;6803;58,667
British Virgin Islands;31332;18261;58,282
Sierra Leone;8605723;4961886;57,658
Slovenia;2119843;1222225;57,656
Poland;39857144;22649138;56,826
Saint Kitts and Nevis;47681;27000;56,626
Honduras;10432858;5853689;56,108
Croatia;4030361;2251723;55,869
Russia;144713312;79702396;55,076
Barbados;281646;155036;55,046
Kazakhstan;19397998;10629063;54,795
Belize;405285;221402;54,629
Dominican Republic;11228821;6114473;54,453
Uzbekistan;34627648;18318860;52,902
Venezuela;28301700;14966671;52,883
Curacao;191173;100885;52,772
Paraguay;6780745;3546685;52,305
Turkmenistan;6430777;3358426;52,224
Cape Verde;593162;308720;52,046
Tajikistan;9952789;5170582;51,951
Tunisia;12356116;6401841;51,811
Bolivia;12224114;6160585;50,397
Vanuatu;326744;162250;49,657
Sao Tome and Principe;227393;111986;49,248
Tanzania;65497752;32165791;49,11
Serbia;6871547;3278198;47,707
Comoros;836783;397080;47,453
Guyana;808727;381984;47,233
Azerbaijan;10358078;4862494;46,944
Trinidad and Tobago;1531043;716898;46,824
Falkland Islands;3801;1775;46,698
Kosovo;1782115;825082;46,298
Zambia;20017670;9213802;46,028
Slovakia;5643455;2577827;45,678
Montenegro;627082;284869;45,428
Albania;2842318;1277987;44,963
Central African Republic;5579148;2484985;44,541
Montserrat;4413;1952;44,233
Lebanon;5489744;2414223;43,977
Somalia;17597508;7666835;43,568
Cote d'Ivoire;28160548;12164304;43,196
Afghanistan;41128772;17370015;42,233
Dominica;72758;30659;42,138
Romania;19659270;8114769;41,277
Bahamas;409989;166972;40,726
Lesotho;2305826;938088;40,683
Jordan;11285875;4558313;40,39
North Macedonia;2093606;838181;40,035
Guatemala;17843914;7126305;39,937
South Sudan;10913172;4245286;38,901
Suriname;618046;237879;38,489
Ukraine;39701744;15153577;38,169
Egypt;110990096;42337175;38,145
Nigeria;218541216;79729922;36,483
Armenia;2780472;996804;35,85
Eswatini;1201680;427335;35,561
Ethiopia;123379928;43653006;35,381
South Africa;59893884;21038797;35,127
Solomon Islands;724272;254352;35,118
Chad;17723312;6127422;34,573
Guinea;13859349;4725982;34,1
Georgia;3744385;1276173;34,082
Palestine;5250076;1776973;33,847
Moldova;3272993;1078505;32,952
Mauritania;4736146;1540533;32,527
Ghana;33475870;10780003;32,202
Djibouti;1120851;351712;31,379
Grenada;125459;39034;31,113
Bulgaria;6781955;2077845;30,638
Saint Lucia;179872;54971;30,561
Saint Vincent and the Grenadines;103959;31632;30,427
Zimbabwe;16320539;4751270;29,112
Sudan;46874200;13416394;28,622
Uganda;47249588;13061126;27,643
Jamaica;2827382;760058;26,882
Angola;35588996;9472763;26,617
Bosnia and Herzegovina;3233530;846080;26,166
Guinea-Bissau;2105580;533741;25,349
Burkina Faso;22673764;5232347;23,077
Namibia;2567024;550656;21,451
Kyrgyzstan;6630621;1406016;21,205
Niger;26207982;5483001;20,921
Malawi;20405318;4223762;20,699
Benin;13352864;2742837;20,541
Kenya;54027484;11090440;20,527
Gambia;2705995;539186;19,926
Libya;6812344;1236102;18,145
Iraq;44496124;7944775;17,855
Togo;8848700;1554066;17,563
Mali;22593598;3633589;16,082
Democratic Republic of Congo;99010216;14399520;14,543
Algeria;44903228;6481186;14,434
Equatorial Guinea;1674916;214032;12,779
Cameroon;27914542;3173644;11,369
Congo;5970430;654119;10,956
Gabon;2388997;257471;10,777
Syria;22125242;2358365;10,659
Madagascar;29611718;2628849;8,878
Senegal;17316452;1503332;8,682
Papua New Guinea;10142625;321192;3,167
Haiti;11585003;350403;3,025
Yemen;33696612;798451;2,37
Burundi;12889583;36321;0,282
French Guiana;304568;NULL;NULL
Eritrea;3684041;NULL;NULL
Saint Martin (French part);31816;NULL;NULL
Liechtenstein;39355;NULL;NULL
Martinique;367512;NULL;NULL
Puerto Rico;3252412;NULL;NULL
Switzerland;8740471;NULL;NULL
Guam;171783;NULL;NULL
Western Sahara;576005;NULL;NULL
Saint Pierre and Miquelon;5885;NULL;NULL
Mayotte;326113;NULL;NULL
Reunion;974062;NULL;NULL
American Samoa;44295;NULL;NULL
Saint Barthelemy;10994;NULL;NULL
Northern Mariana Islands;49574;NULL;NULL
United States Virgin Islands;99479;NULL;NULL
Vatican;808;NULL;NULL
Micronesia (country);114178;NULL;NULL
North Korea;26069416;NULL;NULL
Guadeloupe;395762;NULL;NULL
Marshall Islands;41593;NULL;NULL
Palau;18084;NULL;NULL
